priority,change,exact_area,why,implementation,target,ship_gate
P0 — before tuning,Export owner-resolved live call trees and tick inventories,combat_analyze.py plus Oasis/Purification II combat runs,Current data stops at inclusive UWorld/component/animation/Blueprint timers; it cannot name the actor class owning the remaining milliseconds.,"Keep the full gt_*.csv outputs, add object/class-labelled TRACE_CPUPROFILER scopes around AI Tick, visibility, skill TickComponent, movement and player target detection; capture `dumpticks grouped` at 60 s intervals.",At least 90% of active GT assigned to named exclusive or parent/child-resolved owners.,Do not claim a one-class root cause until owner-resolved evidence exists.
P0 — safe fix,Repair the StatManager tick-shutdown predicate,"UAStatManager::CanStopTick, OnRemoveDot and hit-feedback completion","CanStopTick currently returns bHitFeedbackAlive after proving all DoT maps are empty. The caller disables tick only when that function is true, so completed hit feedback (alive=false) can never stop the component; final DoT removal also never retries shutdown.",Return `!bHitFeedbackAlive && !bHitFeedbackTick` after the DoT loop. Add a shared TryStopTick() and call it after the final DoT removal and after hit-feedback completion.,"Zero StatManager components ticking with no DoT, hit-feedback fade or other timed work pending.","Automated hit-only, DoT-only, overlapping hit+DoT and time-dilation tests; tick always stops after the final state clears."
P1,Stop ticking idle AI skills,UASkill::TickComponent / UAAISkill::TickComponent; ACharacter_AI::SetAIActivated,"Activating an AI enables every skill component, while the base and AI skill ticks mostly poll booleans and empty queues. That fan-out scales with active enemy count and is consistent with the ~4.1 ms live actor/component timer.","Add RefreshTickEnabled() and enable a skill tick only while cooldown, firerate, duration, multihit, FX queue, multiraycast, recovery, preshoot or delayed-area work is active. Re-enable at each state transition; disable immediately when the last state clears.",Reduce component-tick calls by at least 30%; historical City target ≤60 calls/frame and ≤2.5 ms component tick; save 0.7–1.5 ms active GT without fire-rate/cooldown drift.,"Deterministic combat seed: identical shots, damage, kills and cooldown completion within one frame."
P1,Batch enemy compass updates instead of ticking one component per icon,UACompassLocator → AAPlayerController → UCompassWidget::UpdateIconPosition,"Seeking/attacking enemies register compass locators that tick every frame. Each icon update repeats distance/projection/transform/curve/UMG setter work, matching the combat run's high component-dispatch count and ~1.0–1.3 ms Slate RenderThread cost.","Replace per-locator ticks with one controller/widget registry updated at 30 Hz for central threats and 20 Hz for distant/offscreen icons. Cache camera transform and viewport once per batch, early-out by squared distance, and skip UMG setters unless value deltas exceed a visual threshold.",Remove one tick function per registered compass icon; cut compass CPU ≥50% and lower Slate RenderThread by ≥0.3 ms in historical-City-equivalent combat.,No visible judder during head turns; offscreen warnings react within 50 ms; icons unregister correctly on death/travel.
P1,Add significance-based AI tick tiers,"ACharacter_AI dynamic-loading state, controller, brain and path-following activation","The existing Near/Far switch is binary: Near enables actor, controller, brain, path following and skills at full cadence. Oasis and Purification II remain CPU-dominant even with very different kill counts.","Keep bosses, the current attacker/target and enemies within 1,500 uu at 72 Hz; update non-attacking visible Near AI at 36 Hz; update off-axis or occluded Near AI at 24 Hz; leave Far AI disabled as today. Stagger phase offsets by UniqueID.",Actor/component inclusive timer ≤3.0 ms and active GT ≤10.5 ms in both case studies.,"No navigation overshoot, delayed attacks, hit-regression or animation/root-motion divergence in replayed combat."
P1,Make player target detection fixed-rate and cache the broad phase,AAPlayerController::PreProcessInput → ACharacter_Player::DetectTargets,"DetectTargets runs every frame and performs a capsule sweep, per-cone sorting, per-impact visibility traces and two crosshair raycasts. Frozen controls already spend ~0.18–0.20 ms/frame before live enemy density.","Run the broad-phase sweep at 36 Hz (18 Hz when no candidate is nearby), reuse candidates between sweeps, and retain a cheap per-frame ray only for the currently selected target. Avoid sorting all hits; partial-select the closest candidate per cone.",STAT_DetectTargets ≤0.10 ms median and ≤0.25 ms P99 in live Oasis/Purification II.,Target acquisition latency ≤27.8 ms and no aim-assist/focus regressions under dual-wield and teleport tests.
P1,Tighten animation and world-widget significance,"ACharacter_AI mesh policy, GraphicsSettingsSubsystem and health-bar widget components",Skinned-mesh work is ~0.89–0.91 ms/frame in both CPU cases. Existing URO and 20 Hz widget logic are directionally correct but still leave nearly a millisecond of animation work.,Preserve full-rate pose/bone refresh only for rendered combatants and the local player; use URO 2/3/4-frame rates by screen size for other enemies; disable health-bar widget tick/render targets when occluded or outside display range rather than merely running at 20 Hz.,Skinned-mesh inclusive timer ≤0.60 ms and zero hidden health-bar render-target updates.,"No visible pose pops, stale hit bones, floating bars or root-motion divergence in headset capture."
P2,Convert the hottest Blueprint ReceiveTick owners after they are named,Blueprint Events / ReceiveTick owners from the P0 call-tree export,"Blueprint events are ~0.72–0.78 ms/frame, but the artifact does not identify which Blueprint classes own them.","For the top two owners, replace Tick with delegates/timers, set explicit tick intervals, or move the stable hot loop to C++. Do not bulk-convert Blueprints without owner evidence.",Blueprint event timer ≤0.45 ms in both levels.,Same event counts and state transitions in an instrumented before/after replay.
P2 — Purification II,Reduce CPU render submission after GameThread work,"visibility/proxy policy for Purification_Water_1; RHI Translate, InitViews and BasePass","Purification II also carries the highest live RHI Translate value (6.814 ms) and 1.617 ms BasePass among the live levels. Frozen spot A is GPU-heavy while spot B is healthy, so this is view-local rather than a reason to globally lower resolution.","Use the A/B view to tighten HISM/proxy coverage, cull occluded vegetation/room pieces and reduce material sections for the visible high-draw cluster. Preserve the existing eye resolution until CPU work is fixed.",RHI Translate −1.0 ms and BasePass −0.4 ms in the problematic view; no regression in spot B.,72 Hz at both deterministic spots and unchanged gameplay collision/navigation.
P2 — hitches,Diagnose hitches as a separate root-cause track,"frames above 35 ms with load-time, GC, physics and PSO trace channels","Oasis reaches 214.94 ms and Purification II 281.89 ms, but the published hover explanations are heuristics, not per-frame call stacks.","Recapture the worst 10 seconds with file/asset loading, memory/GC, physics and PSO events; correlate each hitch timestamp before changing streaming pools or caches.",P99 ≤20 ms and zero frames above 50 ms after a root-cause-specific fix.,Three cold boots and three warm boots; report cold/warm separately.
